,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
20000x20000,0.391298,1.64551,0.186157,3.45883,0.114484,5.62424,0.0998794,6.44663,0.051839,12.4209,0.048426,13.2963,0.0441802,14.5741
40000x40000,1.33753,1.87102,0.730293,3.42676,0.452585,5.52943,0.407503,6.14115,0.258243,9.69061,0.210519,11.8874,0.201005,12.4501
