,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
20000x20000,0.392326,1.83458,0.333586,2.15762,0.3385,2.1263,0.339143,2.12226,0.355256,2.02601,0.325924,2.20835,0.383758,1.87554
40000x40000,1.35461,1.93656,1.50395,1.74427,1.19984,2.18636,1.22711,2.13778,1.44047,1.82114,1.56016,1.68142,2.21437,1.18467
