,T1,S1,T2,S2,T4,S4,T8,S8,T16,S16
#pragma omp parallel for,10.6104,0.991407,5.43511,1.93541,2.88475,3.64647,2.29112,4.59128,4.65792,2.25834
#pragma omp parallel,10.5045,1.00536,5.41357,1.9508,2.85228,3.70257,2.29528,4.60109,5.11319,2.0654
