,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
20000x20000,0.338041,1.99384,0.179292,3.75923,0.105075,6.41447,0.0957005,7.0428,0.0547678,12.3065,0.0407851,16.5256,0.0344485,19.5654
40000x40000,1.5635,1.53146,1.22872,1.94873,0.534156,4.48267,0.429901,5.56976,0.423101,5.65927,0.273873,8.74291,0.212041,11.2924
