,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
20000x20000,0.387297,1.68198,0.332249,1.96065,0.308772,2.10973,0.296167,2.19952,0.305729,2.13073,0.314369,2.07217,0.355165,1.83415
40000x40000,1.46925,1.75629,1.28268,2.01175,1.20095,2.14867,1.58502,1.62802,1.5376,1.67823,1.57917,1.63405,1.94306,1.32803
