,T1,S1,T2,S2,T4,S4,T8,S8,T16,S16
#pragma omp parallel for,19.6069,1.45874,8.96338,3.19093,5.2731,5.42404,3.03267,9.43114,2.89223,9.88908
#pragma omp parallel,17.0854,0.942621,8.18801,1.9669,3.92082,4.10757,2.37812,6.77217,2.16016,7.45548
