,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
20000x20000,0.353030,1.863882,0.183504,3.585795,0.135790,4.845766,0.117165,5.616064,0.082893,7.937993,0.049641,13.255420,0.053809,12.228580
40000x40000,1.416083,2.014663,0.862806,3.306571,0.413327,6.902358,0.412933,6.908949,0.191006,14.936337,0.169408,16.840571,0.197078,14.476138
